Motion Sensor Data File Sep 21, 2018 12:30 PM
Time (s)	Velocity (cm/s)
4.990	-12.642
5.000	-13.932
5.010	-19.565
5.020	-19.952
5.030	-24.252
5.040	-25.112
5.050	-29.025
5.060	-29.412
5.070	-32.852
5.080	-32.852
5.090	-35.475
5.100	-35.432
5.110	-37.152
5.120	-36.292
5.130	-37.195
5.140	-36.292
5.150	-36.722
5.160	-34.572
5.170	-35.045
5.180	-31.992
5.190	-31.562
5.200	-28.552
5.210	-27.305
5.220	-25.542
5.230	-20.382
5.240	-19.522
5.250	-14.835
5.260	-13.932
5.270	-9.632
5.280	-7.095
5.290	-2.752
5.300	-0.172
5.310	4.558
5.320	6.235
5.330	11.438
5.340	12.685
5.350	17.888
5.360	18.748
5.370	23.005
5.380	24.338
5.390	27.778
5.400	28.595
5.410	32.508
5.420	32.035
5.430	35.518
5.440	34.615
5.450	35.088
5.460	38.098
5.470	36.335
5.480	37.668
5.490	35.475
5.500	36.378
5.510	34.228
5.520	33.755
5.530	31.218
5.540	30.745
5.550	27.348
5.560	26.058
5.570	22.575
5.580	20.898
5.590	16.985
5.600	14.878
5.610	10.578
5.620	8.385
5.630	4.128
5.640	1.978
5.650	-2.795
5.660	-6.192
5.670	-8.342
5.680	-13.115
5.690	-14.792
5.700	-19.092
5.710	-20.812
5.720	-24.295
5.730	-25.542
5.740	-28.982
5.750	-30.272
5.760	-32.465
5.770	-33.282
5.780	-35.432
5.790	-35.002
5.800	-37.195
5.810	-35.862
5.820	-37.582
5.830	-35.862
5.840	-36.765
5.850	-34.572
5.860	-35.002
5.870	-31.562
5.880	-31.132
5.890	-29.455
5.900	-26.402
5.910	-24.252
5.920	-20.855
5.930	-19.952
5.940	-15.222
5.950	-13.932
5.960	-9.675
5.970	-7.052
5.980	-2.752
5.990	0.215
6.000	4.988
6.010	7.138
6.020	10.965
6.030	13.588
6.040	18.318
6.050	18.705
6.060	23.478
6.070	24.295
6.080	28.208
6.090	28.208
6.100	31.605
6.110	33.798
6.120	34.185
6.130	36.378
6.140	35.518
6.150	37.195
6.160	36.378
6.170	37.625
6.180	35.518
6.190	36.378
6.200	33.755
6.210	34.228
6.220	31.175
6.230	29.928
6.240	27.348
6.250	26.015
6.260	21.758
6.270	20.855
6.280	16.598
6.290	15.308
6.300	10.105
6.310	7.998
6.320	4.128
6.330	0.215
6.340	-1.462
6.350	-6.622
6.360	-8.385
6.370	-13.072
6.380	-14.792
6.390	-18.705
6.400	-21.242
6.410	-24.252
6.420	-25.112
6.430	-29.455
6.440	-29.842
6.450	-33.282
6.460	-32.852
6.470	-35.475
6.480	-34.572
6.490	-36.722
6.500	-36.292
6.510	-37.582
6.520	-35.905
6.530	-36.292
6.540	-34.142
6.550	-34.572
6.560	-32.465
6.570	-29.842
6.580	-29.412
6.590	-25.542
6.600	-24.725
6.610	-20.382
6.620	-18.662
6.630	-14.792
6.640	-13.115
6.650	-8.772
6.660	-6.622
6.670	-2.365
6.680	0.258
6.690	4.988
6.700	6.665
6.710	11.438
6.720	13.588
6.730	17.845
6.740	19.178
6.750	23.435
6.760	24.338
6.770	26.918
6.780	30.315
6.790	30.788
6.800	33.325
6.810	33.798
6.820	36.378
6.830	35.905
6.840	37.238
6.850	36.335
6.860	37.238
6.870	35.948
6.880	35.475
6.890	33.798
6.900	33.325
6.910	30.788
6.920	29.885
6.930	26.918
6.940	26.058
6.950	21.285
6.960	20.898
6.970	16.168
6.980	14.835
6.990	9.718
7.000	7.138
7.010	4.515
7.020	0.258
7.030	-1.892
7.040	-7.095
7.050	-8.772
7.060	-13.072
7.070	-15.265
7.080	-19.522
7.090	-20.812
7.100	-24.682
7.110	-25.585
7.120	-29.412
7.130	-29.842
7.140	-32.852
7.150	-32.895
7.160	-35.432
7.170	-35.432
7.180	-37.152
7.190	-35.905
7.200	-37.152
7.210	-37.152
7.220	-35.432
7.230	-35.045
7.240	-33.282
7.250	-32.852
7.260	-29.412
7.270	-29.025
7.280	-25.542
7.290	-23.822
7.300	-20.382
7.310	-19.135
7.320	-15.222
7.330	-13.932
7.340	-8.342
7.350	-6.665
7.360	-1.032
7.370	0.688
7.380	4.945
7.390	7.998
7.400	12.298
7.410	13.545
7.420	18.318
7.430	19.995
7.440	22.188
7.450	26.058
7.460	27.305
7.470	30.358
7.480	31.175
7.490	33.798
7.500	34.228
7.510	36.335
7.520	35.518
7.530	37.195
7.540	35.948
7.550	37.668
7.560	35.905
7.570	35.518
7.580	33.755
7.590	33.368
7.600	30.315
7.610	30.358
7.620	26.058
7.630	25.585
7.640	21.758
7.650	20.468
7.660	15.265
7.670	13.588
7.680	10.535
7.690	7.138
7.700	3.698
7.710	0.215
7.720	-2.322
7.730	-6.622
7.740	-9.632
7.750	-13.115
7.760	-15.222
7.770	-19.522
7.780	-20.855
7.790	-24.682
7.800	-25.542
7.810	-29.842
7.820	-30.315
7.830	-32.852
7.840	-32.852
7.850	-35.432
7.860	-35.045
7.870	-37.152
7.880	-37.152
7.890	-35.862
7.900	-36.722
7.910	-34.615
7.920	-35.432
7.930	-32.852
7.940	-32.852
7.950	-29.025
7.960	-28.982
7.970	-25.112
7.980	-24.682
7.990	-19.995
8.000	-18.232
8.010	-14.362
8.020	-12.685
8.030	-8.772
8.040	-5.762
8.050	-2.322
8.060	0.645
8.070	5.418
8.080	7.525
8.090	12.298
8.100	13.588
8.110	17.415
8.120	20.898
8.130	22.618
8.140	25.585
8.150	27.348
8.160	30.315
